module	n	contrast	omnibus_F	omnibus_p_F	omnibus_BH_q_F1	F1_gate_pass	estimate	d	d_ci_lo	d_ci_hi	perm_p	BH_q_F2	b3_category
M1	502	C1	9.750646431399554	2.9236847186605073e-06	1.5349344772967664e-05	True	0.05429571450037862	0.42260842548868616	0.20688404532674357	0.6409809670288196	0.0004997501249375312	0.001960558182447238	DESCRIPTIVE
M1	502	C2	9.750646431399554	2.9236847186605073e-06	1.5349344772967664e-05	True	-0.03808012500229818	-0.29639506207292593	-0.5809430668071845	-0.009292890268253048	0.012993503248375811	0.027611194402798602	DESCRIPTIVE
M1	502	C3	9.750646431399554	2.9236847186605073e-06	1.5349344772967664e-05	True	0.023689752887856574	0.1843882019101767	-0.15967735320170684	0.47842577123203306	0.2798600699650175	0.3857530694112404	DESCRIPTIVE
M3_DLX5	502	C1	4.431541174787694	0.0043587844449223855	0.0057963177680437905	True	-1.6438402262797567	-0.25864625526556906	-0.47646330549314275	-0.04015574823930719	0.0069965017491254375	0.01699150424787606	DESCRIPTIVE
M3_DLX5	502	C2	4.431541174787694	0.0043587844449223855	0.0057963177680437905	True	-2.130747230777944	-0.3352575167268147	-0.6068340544750056	-0.05517790447487767	0.005997001499250375	0.01656671664167916	DESCRIPTIVE
M3_DLX5	502	C3	4.431541174787694	0.0043587844449223855	0.0057963177680437905	True	-0.54726714338506	-0.08610848852797302	-0.4354721305504056	0.2905726501388178	0.6211894052973513	0.6887099928296722	DESCRIPTIVE
M3_EMX2	502	C1	1.9960650880233723	0.11365845427413579	0.13260152998649175	False	0.1649063934927184	0.05431235594665864	-0.16427892360090982	0.28039186597247406			DESCRIPTIVE
M3_EMX2	502	C2	1.9960650880233723	0.11365845427413579	0.13260152998649175	False	0.9291837052857135	0.3060291058002018	0.04224149861946364	0.5881815176321723			DESCRIPTIVE
M3_EMX2	502	C3	1.9960650880233723	0.11365845427413579	0.13260152998649175	False	0.527762943496997	0.1738201184051174	-0.17327200091532777	0.5005294186504423			DESCRIPTIVE
M3_FOXA2	502	C1	4.421945832708129	0.004416242108985745	0.0057963177680437905	True	-0.6134646734901281	-0.06142018819783621	-0.27438007295727473	0.14599031032593773	0.5257371314342829	0.6093771296170097	CAT5_CLEAN_NULL
M3_FOXA2	502	C2	4.421945832708129	0.004416242108985745	0.0057963177680437905	True	-3.907106027841211	-0.3911801248043163	-0.6671799513574421	-0.15501468077620606	0.0004997501249375312	0.001960558182447238	DESCRIPTIVE
