config	module	contrast	primary_d	sens_d	delta_d	direction_agree	primary_category	sens_category	category_match	primary_gate	sens_gate	gate_match
SENS_nopurity	M1	C1	0.40837393367436486	0.42023081780033156	0.011856884125966693	True	DESCRIPTIVE	DESCRIPTIVE	True	True	True	True
SENS_nopurity	M1	C2	-0.3218770921905469	-0.307678176153354	0.014198916037192866	True	DESCRIPTIVE	DESCRIPTIVE	True	True	True	True
SENS_nopurity	M1	C3	0.21183691808796962	0.17851980670260317	-0.033317111385366444	True	DESCRIPTIVE	DESCRIPTIVE	True	True	True	True
SENS_nopurity	M3_DLX5	C1	-0.29775524259151037	-0.279679012282049	0.018076230309461372	True	DESCRIPTIVE	DESCRIPTIVE	True	True	True	True
SENS_nopurity	M3_DLX5	C2	-0.3590181114584357	-0.3438536976268837	0.015164413831551982	True	DESCRIPTIVE	DESCRIPTIVE	True	True	True	True
SENS_nopurity	M3_DLX5	C3	-0.0832215102139021	-0.12059289873873495	-0.03737138852483285	True	DESCRIPTIVE	DESCRIPTIVE	True	True	True	True
SENS_nopurity	M3_EMX2	C1	0.04924957244544767	0.05436340500095783	0.005113832555510157	True	DESCRIPTIVE	DESCRIPTIVE	True	False	False	True
SENS_nopurity	M3_EMX2	C2	0.3010780437178441	0.3119595618708734	0.010881518153029346	True	DESCRIPTIVE	DESCRIPTIVE	True	False	False	True
SENS_nopurity	M3_EMX2	C3	0.1949790180697375	0.18448380088526053	-0.010495217184476963	True	DESCRIPTIVE	DESCRIPTIVE	True	False	False	True
SENS_nopurity	M3_FOXA2	C1	-0.0428363095786502	-0.05055053231700794	-0.007714222738357743	True	CAT5_CLEAN_NULL	CAT5_CLEAN_NULL	True	True	True	True
SENS_nopurity	M3_FOXA2	C2	-0.4079652143411853	-0.41997451712439904	-0.012009302783213716	True	DESCRIPTIVE	DESCRIPTIVE	True	True	True	True
SENS_nopurity	M3_FOXA2	C3	-0.4934179285672673	-0.47627233320404433	0.017145595363222965	True	DESCRIPTIVE	DESCRIPTIVE	True	True	True	True
SENS_nopurity	M3_GATA2	C1	-0.062180438837763155	-0.051363020736372715	0.01081741810139044	True	CAT5_CLEAN_NULL	CAT5_CLEAN_NULL	True	True	True	True
SENS_nopurity	M3_GATA2	C2	-0.553030859910336	-0.5390942111232796	0.01393664878705636	True	CAT2_DEPLETION	CAT2_DEPLETION	True	True	True	True
SENS_nopurity	M3_GATA2	C3	-0.2582753961061831	-0.2824639051698975	-0.024188509063714392	True	DESCRIPTIVE	DESCRIPTIVE	True	True	True	True
SENS_nopurity	M3_GATA3	C1	-0.10564323800014432	-0.09342429927102254	0.012218938729121775	True	DESCRIPTIVE	DESCRIPTIVE	True	False	False	True
SENS_nopurity	M3_GATA3	C2	-0.18007774894663783	-0.15712857533186725	0.022949173614770585	True	DESCRIPTIVE	DESCRIPTIVE	True	False	False	True
