module	n	contrast	omnibus_F	omnibus_p_F	omnibus_BH_q_F1	F1_gate_pass	estimate	d	d_ci_lo	d_ci_hi	perm_p	BH_q_F2	b3_category
M1	507	C1	9.987886853325387	2.1021801123382933e-06	1.103644558977604e-05	True	0.05370121162095787	0.42023081780033156	0.20944155220201102	0.6435058530547985	0.0004997501249375312	0.0018205183122724353	DESCRIPTIVE
M1	507	C2	9.987886853325387	2.1021801123382933e-06	1.103644558977604e-05	True	-0.039318132199938294	-0.307678176153354	-0.5888169973499556	-0.03505891078907755	0.0074962518740629685	0.01662212372074832	DESCRIPTIVE
M1	507	C3	9.987886853325387	2.1021801123382933e-06	1.103644558977604e-05	True	0.022813010165342096	0.17851980670260317	-0.13171963633283723	0.499148552217153	0.2913543228385807	0.4015964990477734	DESCRIPTIVE
M3_DLX5	507	C1	5.0210279656053745	0.0019440794503352153	0.002721711230469301	True	-1.8064410635607344	-0.279679012282049	-0.5019583184090238	-0.08672453406842584	0.0069965017491254375	0.01662212372074832	DESCRIPTIVE
M3_DLX5	507	C2	5.0210279656053745	0.0019440794503352153	0.002721711230469301	True	-2.220944053620956	-0.3438536976268837	-0.6175491800953264	-0.0742198563064888	0.004997501249375313	0.014159586873230053	DESCRIPTIVE
M3_DLX5	507	C3	5.0210279656053745	0.0019440794503352153	0.002721711230469301	True	-0.7789070852259101	-0.12059289873873495	-0.4886693111516576	0.23743098016984354	0.4587706146926537	0.5317568488483032	DESCRIPTIVE
M3_EMX2	507	C1	2.115080373291782	0.09739285097348638	0.11362499280240078	False	0.16501156460377037	0.05436340500095783	-0.15007503238807532	0.2697420418455589			DESCRIPTIVE
M3_EMX2	507	C2	2.115080373291782	0.09739285097348638	0.11362499280240078	False	0.9469041793190209	0.3119595618708734	0.050020897175982224	0.5938704083380463			DESCRIPTIVE
M3_EMX2	507	C3	2.115080373291782	0.09739285097348638	0.11362499280240078	False	0.5599715585804628	0.18448380088526053	-0.1356490470131671	0.5040505481060447			DESCRIPTIVE
M3_FOXA2	507	C1	4.957328720292817	0.0021214142755657463	0.002784356236680042	True	-0.504429354247061	-0.05055053231700794	-0.26209220389658	0.16523897739688415	0.6241879060469765	0.6992373378528127	CAT5_CLEAN_NULL
M3_FOXA2	507	C2	4.957328720292817	0.0021214142755657463	0.002784356236680042	True	-4.190806006646243	-0.41997451712439904	-0.695500872426897	-0.15991695942703807	0.0004997501249375312	0.0018205183122724353	DESCRIPTIVE
M3_FOXA2	507	C3	4.957328720292817	0.0021214142755657463	0.002784356236680042	True	-4.752585867488985	-0.47627233320404433	-0.8020880295057609	-0.1559230738827183	0.0074962518740629685	0.01662212372074832	DESCRIPTIVE
M3_GATA2	507	C1	5.944039128566376	0.0005472858974488871	0.001050005659781473	True	-0.40472720429161546	-0.051363020736372715	-0.2736024273254825	0.17296669110493104	0.6306846576711644	0.6992373378528127	CAT5_CLEAN_NULL
M3_GATA2	507	C2	5.944039128566376	0.0005472858974488871	0.001050005659781473	True	-4.247921749727045	-0.5390942111232796	-0.8424245104295748	-0.2843641636819756	0.0004997501249375312	0.0018205183122724353	CAT2_DEPLETION
M3_GATA2	507	C3	5.944039128566376	0.0005472858974488871	0.001050005659781473	True	-2.2257418861610745	-0.2824639051698975	-0.6554062150412744	0.05891064263270628	0.07746126936531735	0.13622499095279947	DESCRIPTIVE
M3_GATA3	507	C1	1.161910507738499	0.32374130183862526	0.3399283669305565	False	-1.1011223526318121	-0.09342429927102254	-0.3101203107708643	0.11724916817139217			DESCRIPTIVE
M3_GATA3	507	C2	1.161910507738499	0.32374130183862526	0.3399283669305565	False	-1.8519570163773826	-0.15712857533186725	-0.42753919512344984	0.11815180999903431			DESCRIPTIVE
