target	contrast	correlation_n	pearson_r_score_vs_Aran_CPE	pearson_p_two_sided	spearman_rho_score_vs_Aran_CPE	spearman_p_two_sided	stage	from_n	to_n	from_coefficient	to_coefficient	from_residual_sd	to_residual_sd	from_d	to_d	delta_d	coefficient_component	residual_scale_component	component_sum	sum_to_delta_residual	from_algebra_error_d_minus_b_over_s	to_algebra_error_d_minus_b_over_s	formula
GATA2	C2	506	-0.2348589034049991	9.0470268575103444e-08	-0.2905596083281568	2.662563529985852e-11	purity_covariate_removal_common_n506	506	506	-4.350546249801706	-4.2539107386284769	7.8667332425302066	7.887491856298368	-0.55303085991033585	-0.53932362988516025	0.013707230025175699	0.012267906335854201	0.0014393236893214	0.0137072300251756	-1.9298798670241976e-17	1.1102230246251565e-16	0	d=b/s; coef=0.5*(b1-b0)*(1/s0+1/s1); scale=0.5*(b0+b1)*(1/s1-1/s0); delta_d=coef+scale
GATA2	C2	506	-0.2348589034049991	9.0470268575103444e-08	-0.2905596083281568	2.662563529985852e-11	sample_set_change_common_n506_to_official_n507	506	507	-4.2539107386284769	-4.2479217497270447	7.887491856298368	7.8797391292254719	-0.53932362988516025	-0.5390942111232796	0.00022941876188060001	0.00075967560250419998	-0.00053025684062360003	0.00022941876188059995	-1.713039432527097e-17	0	1.1102230246251565e-16	d=b/s; coef=0.5*(b1-b0)*(1/s0+1/s1); scale=0.5*(b0+b1)*(1/s1-1/s0); delta_d=coef+scale
GATA2	C2	506	-0.2348589034049991	9.0470268575103444e-08	-0.2905596083281568	2.662563529985852e-11	total_primary_n506_to_official_n507	506	507	-4.350546249801706	-4.2479217497270447	7.8667332425302066	7.8797391292254719	-0.55303085991033585	-0.5390942111232796	0.0139366487870563	0.0130346108845925	0.00090203790246369997	0.013936648787056201	-3.3935527998796289e-17	1.1102230246251565e-16	1.1102230246251565e-16	d=b/s; coef=0.5*(b1-b0)*(1/s0+1/s1); scale=0.5*(b0+b1)*(1/s1-1/s0); delta_d=coef+scale
SOX9	C2	506	-0.0321865915827802	0.47003872761382032	-0.078833680571792797	0.076445666297721801	purity_covariate_removal_common_n506	506	506	-4.2424280879495662	-4.094344216784874	8.0484531556112646	8.1059635193128603	-0.52711098715804883	-0.505102719378134	0.022008267779914801	0.018333778429262398	0.0036744893506523999	0.022008267779914797	-7.6761513811973714e-17	-1.1102230246251565e-16	-1.1102230246251565e-16	d=b/s; coef=0.5*(b1-b0)*(1/s0+1/s1); scale=0.5*(b0+b1)*(1/s1-1/s0); delta_d=coef+scale
SOX9	C2	506	-0.0321865915827802	0.47003872761382032	-0.078833680571792797	0.076445666297721801	sample_set_change_common_n506_to_official_n507	506	507	-4.094344216784874	-4.1230346607622836	8.1059635193128603	8.1006148789176216	-0.505102719378134	-0.50897798776889747	-0.0038752683907635	-0.0035405927639210002	-0.00033467562684249999	-0.0038752683907635	-5.8546917314217239e-18	-1.1102230246251565e-16	2.2204460492503131e-16	d=b/s; coef=0.5*(b1-b0)*(1/s0+1/s1); scale=0.5*(b0+b1)*(1/s1-1/s0); delta_d=coef+scale
SOX9	C2	506	-0.0321865915827802	0.47003872761382032	-0.078833680571792797	0.076445666297721801	total_primary_n506_to_official_n507	506	507	-4.2424280879495662	-4.1230346607622836	8.0484531556112646	8.1006148789176216	-0.52711098715804883	-0.50897798776889747	0.018132999389151201	0.0147865712839697	0.0033464281051815	0.018132999389151201	-8.0230960763927328e-17	-1.1102230246251565e-16	2.2204460492503131e-16	d=b/s; coef=0.5*(b1-b0)*(1/s0+1/s1); scale=0.5*(b0+b1)*(1/s1-1/s0); delta_d=coef+scale
