task	target	target_role	model	cohort	stratum	contrast	model_formula	covariates	analytic_n	residual_df	n_POLE	n_MMRd	n_NSMP	n_p53abn	contrast_weights	coefficient	coefficient_SE	residual_SD	d	coefficient_t_CI_lo	coefficient_t_CI_hi	coefficient_boot_CI_lo	coefficient_boot_CI_hi	d_boot_CI_lo	d_boot_CI_hi	d_boot_SE	perm_p_raw	BH18_q_descriptive	wald_t_p_diagnostic	point_direction	n_boot_requested	n_boot_used	n_boot_failed	n_perm	deterministic_seed	permutation_seed	evaluability_status	evaluability_reason	c2_reconstruction_value	c2_reconstruction_abs_error	d_c2_reconstruction_abs_error	interpretation_state	interpretation_basis	meta_discovery_coefficient	meta_discovery_coefficient_SE	meta_discovery_residual_SD	meta_discovery_d	meta_discovery_boot_SE_d	meta_discovery_weight	meta_confirmatory_coefficient	meta_confirmatory_coefficient_SE	meta_confirmatory_residual_SD	meta_confirmatory_d	meta_confirmatory_boot_SE_d	meta_confirmatory_weight	meta_weight_fraction_discovery	meta_weight_fraction_confirmatory	meta_opposite_direction_flag
TASK_A_PERCLASS_C2	WT1	SECONDARY_COMPLETENESS	TCGA_PRIMARY_CPE_N506	TCGA	PRIMARY_CPE	MMRd_vs_NSMP	score ~ subtype + M4 + Aran_CPE + ESTIMATE_composition	M4|Aran_CPE|composition	506	499.0	49	148	146	163	[0.0,1.0,-1.0,0.0]	-5.014074774612548	1.2512268765973815	9.901361371130976	-0.5064025629073489	-7.472396993857149	-2.555752555367947	-7.436464110188818	-2.5462621324916586	-0.7665428566989885	-0.2556189949422573	0.12839019237495516	0.0004997501249375312	0.0017991004497751122	7.07795300961115e-05	NEGATIVE	2000	2000	0	2000	3990543209.0	1421625370.0	EVALUABLE		-5.851230229526426	0.0	0.0	SAME_DIRECTION_COMPATIBLE_BOTH_RESOLVED	same-fit model t CIs; direct PM; inherited |d_PM|>=0.50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TASK_A_PERCLASS_C2	WT1	SECONDARY_COMPLETENESS	TCGA_PRIMARY_CPE_N506	TCGA	PRIMARY_CPE	POLE_vs_MMRd	score ~ subtype + M4 + Aran_CPE + ESTIMATE_composition	M4|Aran_CPE|composition	506	499.0	49	148	146	163	[1.0,-1.0,0.0,0.0]	-1.6743109098277547	1.6559852246524824	9.901361371130976	-0.1690990609341337	-4.927873751743837	1.579251932088328	-4.951265942059528	1.580286541246331	-0.512592399351112	0.15861942230043583	0.17238301139981302	0.3243378310844578	0.36488005997001505	0.3124746821685661	NEGATIVE	2000	2000	0	2000	3990543209.0	1421625370.0	EVALUABLE		-5.851230229526426	0.0	0.0	SAME_DIRECTION_COMPATIBLE_BOTH_RESOLVED	same-fit model t CIs; direct PM; inherited |d_PM|>=0.50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TASK_A_PERCLASS_C2	PAX8	SECONDARY_COMPLETENESS_PRIOR_C1_TARGET	TCGA_PRIMARY_CPE_N506	TCGA	PRIMARY_CPE	POLE_vs_NSMP	score ~ subtype + M4 + Aran_CPE + ESTIMATE_composition	M4|Aran_CPE|composition	506	499.0	49	148	146	163	[1.0,0.0,-1.0,0.0]	-1.525359685224427	0.8635601790832651	4.823278858927491	-0.31624953270141376	-3.2220217499559096	0.17130237950705562	-3.2974710951613333	0.1892985851061953	-0.6964395558265765	0.03980591621652531	0.1916326009858705	0.0544727636181909	0.08845577211394302	0.0779465255830273	NEGATIVE	2000	2000	0	2000	2996527498.0	4238632105.0	EVALUABLE		-1.1872375555572268	0.0	0.0	SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED	same-fit model t CIs; direct PM; inherited |d_PM|>=0.50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TASK_A_PERCLASS_C2	PAX8	SECONDARY_COMPLETENESS_PRIOR_C1_TARGET	TCGA_PRIMARY_CPE_N506	TCGA	PRIMARY_CPE	MMRd_vs_NSMP	score ~ subtype + M4 + Aran_CPE + ESTIMATE_composition	M4|Aran_CPE|composition	506	499.0	49	148	146	163	[0.0,1.0,-1.0,0.0]	-0.8491154258900264	0.609513774460358	4.823278858927491	-0.1760452693541415	-2.0466450527841333	0.34841420100408027	-2.0543210407118457	0.2791561059037461	-0.43240857355653867	0.05915212346355113	0.12807171931431052	0.12543728135932034	0.16577425572927823	0.1642089382229841	NEGATIVE	2000	2000	0	2000	2996527498.0	4238632105.0	EVALUABLE		-1.1872375555572268	0.0	0.0	SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED	same-fit model t CIs; direct PM; inherited |d_PM|>=0.50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TASK_A_PERCLASS_C2	PAX8	SECONDARY_COMPLETENESS_PRIOR_C1_TARGET	TCGA_PRIMARY_CPE_N506	TCGA	PRIMARY_CPE	POLE_vs_MMRd	score ~ subtype + M4 + Aran_CPE + ESTIMATE_composition	M4|Aran_CPE|composition	506	499.0	49	148	146	163	[1.0,-1.0,0.0,0.0]	-0.6762442593344007	0.8066848815407157	4.823278858927491	-0.14020426334727223	-2.261161755362867	0.9086732366940655	-2.2144284034391846	0.9354414993321793	-0.46833411288070753	0.19707673238978393	0.17096327934206826	0.3893053473263368	0.41220566187494484	0.40226337592236866	NEGATIVE	2000	2000	0	2000	2996527498.0	4238632105.0	EVALUABLE		-1.1872375555572268	0.0	0.0	SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED	same-fit model t CIs; direct PM; inherited |d_PM|>=0.50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TASK_A_PERCLASS_C2	LHX1	SECONDARY_COMPLETENESS_PRIOR_C1_TARGET	TCGA_PRIMARY_CPE_N506	TCGA	PRIMARY_CPE	POLE_vs_NSMP	score ~ subtype + M4 + Aran_CPE + ESTIMATE_composition	M4|Aran_CPE|composition	506	499.0	49	148	146	163	[1.0,0.0,-1.0,0.0]	-0.9666792710419944	0.5576010430921967	3.114392474323656	-0.3103909603595884	-2.062214428850626	0.12885588676663728	-1.9204846386772783	0.028702997066878407	-0.6242540070380243	0.009526890469830317	0.1570061445358608	0.05897051474262868	0.08845577211394302	0.0835997161246703	NEGATIVE	2000	2000	0	2000	3540525198.0	2579427243.0	EVALUABLE		-0.8645189076719668	0.0	0.0	SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED	same-fit model t CIs; direct PM; inherited |d_PM|>=0.50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TASK_A_PERCLASS_C2	LHX1	SECONDARY_COMPLETENESS_PRIOR_C1_TARGET	TCGA_PRIMARY_CPE_N506	TCGA	PRIMARY_CPE	MMRd_vs_NSMP	score ~ subtype + M4 + Aran_CPE + ESTIMATE_composition	M4|Aran_CPE|composition	506	499.0	49	148	146	163	[0.0,1.0,-1.0,0.0]	-0.7623585443019394	0.3935632103589476	3.114392474323656	-0.24478563655259883	-1.5356037509056342	0.010886662301755279	-1.4771305130547228	0.020582858234135165	-0.47785447487370813	0.006677548927766904	0.12378284491315857	0.03548225887056472	0.07096451774112944	0.05330113853522939	NEGATIVE	2000	2000	0	2000	3540525198.0	2579427243.0	EVALUABLE		-0.8645189076719668	0.0	0.0	SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED	same-fit model t CIs; direct PM; inherited |d_PM|>=0.50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TASK_A_PERCLASS_C2	LHX1	SECONDARY_COMPLETENESS_PRIOR_C1_TARGET	TCGA_PRIMARY_CPE_N506	TCGA	PRIMARY_CPE	POLE_vs_MMRd	score ~ subtype + M4 + Aran_CPE + ESTIMATE_composition	M4|Aran_CPE|composition	506	499.0	49	148	146	163	[1.0,-1.0,0.0,0.0]	-0.20432072674005503	0.5208766479613662	3.114392474323656	-0.06560532380698961	-1.227702386068899	0.8190609325887888	-1.031983187290219	0.6890871068856391	-0.33550881144049227	0.2242984531785637	0.14085607120198007	0.6896551724137931	0.6896551724137931	0.6950312569635144	NEGATIVE	2000	2000	0	2000	3540525198.0	2579427243.0	EVALUABLE		-0.8645189076719668	0.0	0.0	SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED	same-fit model t CIs; direct PM; inherited |d_PM|>=0.50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TASK_A_PERCLASS_C2	GATA2	PRIMARY_EXPLANATORY	TCGA_NOPURITY_N507	TCGA	NOPURITY	POLE_vs_NSMP	score ~ subtype + M4 + ESTIMATE_composition	M4|composition	507	501.0	49	148	147	163	[1.0,0.0,-1.0,0.0]	-5.360792692807583	1.409923524158611	7.879739129225473	-0.6803261637082285	-8.13088399420004	-2.5907013914151262	-8.432905333646627	-2.397922915237573	-1.1068090718617818	-0.3016432242474936	0.20660596480604995	0.0004997501249375312	0.0014992503748125937	0.0001611023762689957	NEGATIVE	2000	2000	0	2000	7188787.0	386256350.0	EVALUABLE		-4.247921749727046	0.0	0.0	SAME_DIRECTION_COMPATIBLE_BOTH_RESOLVED	same-fit model t CIs; direct PM; inherited |d_PM|>=0.50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TASK_A_PERCLASS_C2	GATA2	PRIMARY_EXPLANATORY	TCGA_NOPURITY_N507	TCGA	NOPURITY	MMRd_vs_NSMP	score ~ subtype + M4 + ESTIMATE_composition	M4|composition	507	501.0	49	148	147	163	[0.0,1.0,-1.0,0.0]	-3.1350508066465084	0.9894606695018372	7.879739129225473	-0.397862258538331	-5.079054397403432	-1.191047215889585	-5.196641194521372	-1.254494794276478	-0.6695901489843171	-0.15859169409298163	0.1310324127107159	0.0014992503748125937	0.003855215249518098	0.0016261696086080108	NEGATIVE	2000	2000	0	2000	7188787.0	386256350.0	EVALUABLE		-4.247921749727046	0.0	0.0	SAME_DIRECTION_COMPATIBLE_BOTH_RESOLVED	same-fit model t CIs; direct PM; inherited |d_PM|>=0.50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
