target	contrast	tcga_primary_d	tcga_official_nopurity_d	cptac_meta_d	absolute_gap_primary_vs_cptac	absolute_gap_nopurity_vs_cptac	nopurity_moves_closer_to_cptac	percent_magnitude_change_primary_to_nopurity	percent_absolute_gap_change	comparison_scope
GATA2	C2	-0.55303085991033596	-0.5390942111232796	-0.87726577320244514	0.32423491329210918	0.33817156207916554	False	-2.5200490239036459	4.2983183536748175	descriptive only; not a replication criterion
SOX9	C2	-0.52711098715804883	-0.50897798776889758	-0.7886590700390439	0.26154808288099507	0.27968108227014632	False	-3.4400723625429301	6.932950602968786	descriptive only; not a replication criterion
HOXA9	C2	-0.64601938358518995	-0.61433205097529708	-0.33288124745764458	0.31313813612754537	0.2814508035176525	True	-4.905012669130584	-10.119282499971897	descriptive only; not a replication criterion
WT1	C2	-0.59095209337441612	-0.59825493557978537	-0.1746230284630709	0.41632906491134525	0.4236319071167145	False	1.2357756723847173	1.7541033814020044	descriptive only; not a replication criterion
PAX8	C1	0.69307426319075771	0.68648533411246571	0.79549373825315695	0.10241947506239923	0.10900840414069124	False	-0.95068153994898907	6.4332775326935518	descriptive only; not a replication criterion
LHX1	C1	0.96162073249679181	0.95642774696517663	0.46998582372145892	0.49163490877533289	0.48644192324371771	True	-0.54002428983949813	-1.0562686739537994	descriptive only; not a replication criterion
