target	contrast	pearson_r_score_vs_Aran_CPE	spearman_rho_score_vs_Aran_CPE	primary_n	primary_coefficient	primary_residual_sd	primary_d	official_nopurity_n	official_nopurity_coefficient	official_nopurity_residual_sd	official_nopurity_d	common_nopurity_n	common_nopurity_coefficient	common_nopurity_residual_sd	common_nopurity_d	direction_preserved_official	category_primary	category_official_nopurity	category_preserved_official	exact_outcome
GATA2	C2	-0.23485890340499913	-0.29055960832815686	506	-4.350546249801706	7.8667332425302066	-0.55303085991033596	507	-4.2479217497270447	7.8797391292254728	-0.5390942111232796	506	-4.2539107386284769	7.887491856298368	-0.53932362988516025	True	CAT2_DEPLETION	CAT2_DEPLETION	True	all relevant frozen criteria remain satisfied
SOX9	C2	-0.03218659158278029	-0.078833680571792838	506	-4.2424280879495662	8.0484531556112628	-0.52711098715804883	507	-4.1230346607622836	8.1006148789176233	-0.50897798776889758	506	-4.0943442167848749	8.1059635193128603	-0.505102719378134	True	CAT2_DEPLETION	CAT2_DEPLETION	True	all relevant frozen criteria remain satisfied
HOXA9	C2	-0.15938276276649394	-0.26420595984413631	506	-3.0805173590624655	4.7684596427534913	-0.64601938358518995	507	-2.9628415599919755	4.8228666488884109	-0.61433205097529708	506	-2.9678807961692755	4.827544740666279	-0.61478058839484939	True	CAT2_DEPLETION	CAT2_DEPLETION	True	all relevant frozen criteria remain satisfied
WT1	C2	-0.20936801695133647	-0.24044290868594431	506	-5.8512302295264291	9.9013613711309763	-0.59095209337441612	507	-5.914836434053484	9.8868159413031051	-0.59825493557978537	506	-5.8826256884291581	9.8938600133497108	-0.59457336979619435	True	CAT2_DEPLETION	CAT2_DEPLETION	True	all relevant frozen criteria remain satisfied
PAX8	C1	-0.18061617165439092	-0.23983980225210255	506	3.3428904413147293	4.8232788589274911	0.69307426319075771	507	3.3098188045313846	4.8213976906156928	0.68648533411246571	506	3.3106810153456232	4.8253228527384744	0.68610559674089799	True	CAT1_ENRICHMENT	CAT1_ENRICHMENT	True	all relevant frozen criteria remain satisfied
LHX1	C1	-0.1769258374731324	-0.20098797478602279	506	2.9948643724416097	3.114392474323656	0.96162073249679181	507	2.9761947836988214	3.1117821426056809	0.95642774696517663	506	2.9764766170324979	3.1147444100931838	0.95560862309837191	True	CAT1_ENRICHMENT	CAT1_ENRICHMENT	True	all relevant frozen criteria remain satisfied
