target	n	pearson_r_score_vs_Aran_CPE	pearson_p_two_sided	spearman_rho_score_vs_Aran_CPE	spearman_p_two_sided
GATA2	506	-0.23485890340499913	9.047026857510343e-08	-0.29055960832815686	2.6625635299858517e-11
SOX9	506	-0.03218659158278029	0.47003872761382032	-0.078833680571792838	0.076445666297721843
HOXA9	506	-0.15938276276649394	0.00031895965357261146	-0.26420595984413631	1.579319505849383e-09
WT1	506	-0.20936801695133647	2.0269186491175299e-06	-0.24044290868594431	4.3557277860017654e-08
PAX8	506	-0.18061617165439092	4.3799005252072376e-05	-0.23983980225210255	4.7176717773305213e-08
LHX1	506	-0.1769258374731324	6.291110082991627e-05	-0.20098797478602279	5.2010682360603194e-06
