contrast	group_a	group_a_n	group_a_mean_Aran_CPE	group_a_sd_Aran_CPE	group_b	group_b_n	group_b_mean_Aran_CPE	group_b_sd_Aran_CPE	pooled_side_mean_difference_a_minus_b	pooled_sd_standardized_difference_Cohen_d	frozen_equal_subtype_weight_contrast_difference	note
C2	POLE+MMRd	197	0.81900203045685271	0.11790231989521044	NSMP	146	0.81007602739726026	0.12909511238633561	0.0089260030595924578	0.072695333140299426	-0.0037793575130903312	Purity summary is descriptive; pooled side means differ from the equal-subtype-weight frozen model contrast where side A has multiple subtypes.
C1	p53abn	163	0.84957975460122692	0.098062351769205039	pooled_non-p53abn	343	0.81520262390670561	0.12268646159455435	0.034377130694521307	0.29803414669290618	0.042023298879360182	Purity summary is descriptive; pooled side means differ from the equal-subtype-weight frozen model contrast where side A has multiple subtypes.
