target	model	contrast	coefficient	coefficient_SE	residual_SD	d	d_boot_CI_lo	d_boot_CI_hi	perm_p_raw	BH18_q_descriptive	n_POLE	n_MMRd	n_NSMP	n_p53abn	interpretation_state
GATA2	TCGA_NOPURITY_N507	POLE_vs_MMRd	-2.2257418861610745	1.313916048461862	7.879739129225473	-0.2824639051698975	-0.6783729621244683	0.08033194875440451	0.08445777111444278	0.1169415292353823	49	148	147	163	SAME_DIRECTION_COMPATIBLE_BOTH_RESOLVED
SOX9	TCGA_NOPURITY_N507	POLE_vs_NSMP	-5.587785374250028	1.4494448725560602	8.100614878917623	-0.6897976829873251	-1.0122710540741722	-0.3612949132838641	0.0004997501249375312	0.0014992503748125937	49	148	147	163	SAME_DIRECTION_DISTINGUISHABLE_BELOW_MATERIALITY_FLOOR
SOX9	TCGA_NOPURITY_N507	MMRd_vs_NSMP	-2.6582839472745396	1.0171960886042966	8.100614878917623	-0.32815829255047	-0.5907168005951898	-0.09235057456158276	0.005497251374312844	0.012368815592203899	49	148	147	163	SAME_DIRECTION_DISTINGUISHABLE_BELOW_MATERIALITY_FLOOR
SOX9	TCGA_NOPURITY_N507	POLE_vs_MMRd	-2.929501426975488	1.3507462261463214	8.100614878917623	-0.3616393904368551	-0.6617331340683037	-0.06110646216680571	0.03298350824587706	0.05937031484257871	49	148	147	163	SAME_DIRECTION_DISTINGUISHABLE_BELOW_MATERIALITY_FLOOR
HOXA9	TCGA_NOPURITY_N507	POLE_vs_NSMP	-3.643011766212895	0.862956632273201	4.822866648888411	-0.7553623252371175	-1.1287845545879518	-0.40542021562875175	0.0004997501249375312	0.0014992503748125937	49	148	147	163	SAME_DIRECTION_COMPATIBLE_BOTH_RESOLVED
HOXA9	TCGA_NOPURITY_N507	MMRd_vs_NSMP	-2.2826713537710606	0.605608483360574	4.822866648888411	-0.47330177671347756	-0.7547626210256694	-0.2225031735294459	0.0004997501249375312	0.0014992503748125937	49	148	147	163	SAME_DIRECTION_COMPATIBLE_BOTH_RESOLVED
HOXA9	TCGA_NOPURITY_N507	POLE_vs_MMRd	-1.3603404124418343	0.804194375682185	4.822866648888411	-0.28206054852363993	-0.6214646012896536	0.06247972149943972	0.10044977511244378	0.12173913043478261	49	148	147	163	SAME_DIRECTION_COMPATIBLE_BOTH_RESOLVED
WT1	TCGA_NOPURITY_N507	POLE_vs_NSMP	-6.7214404834035575	1.7690502370780627	9.886815941303105	-0.6798387391156041	-1.0509447375841512	-0.31047131307081577	0.0004997501249375312	0.0014992503748125937	49	148	147	163	SAME_DIRECTION_COMPATIBLE_BOTH_RESOLVED
WT1	TCGA_NOPURITY_N507	MMRd_vs_NSMP	-5.1082323847034194	1.2414897701676548	9.886815941303105	-0.5166711320439675	-0.7789858766496858	-0.2781058902049637	0.0004997501249375312	0.0014992503748125937	49	148	147	163	SAME_DIRECTION_COMPATIBLE_BOTH_RESOLVED
WT1	TCGA_NOPURITY_N507	POLE_vs_MMRd	-1.613208098700138	1.648588350505913	9.886815941303105	-0.1631676070716366	-0.4868148202060316	0.1881497725114428	0.3288355822088955	0.36994002998500747	49	148	147	163	SAME_DIRECTION_COMPATIBLE_BOTH_RESOLVED
PAX8	TCGA_NOPURITY_N507	POLE_vs_NSMP	-1.5381783527700572	0.8626937912335744	4.821397690615693	-0.31903162764688503	-0.6836367343923921	0.03122146543325071	0.05297351324337831	0.08668393076189178	49	148	147	163	SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED
PAX8	TCGA_NOPURITY_N507	MMRd_vs_NSMP	-0.9356359243966124	0.6054240259296672	4.821397690615693	-0.19405906428704736	-0.4410203768994444	0.047439765943956616	0.10144927536231885	0.12173913043478261	49	148	147	163	SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED
PAX8	TCGA_NOPURITY_N507	POLE_vs_MMRd	-0.6025424283734448	0.8039494325670142	4.821397690615693	-0.12497256335983771	-0.47492972317558413	0.20155230045362257	0.4617691154422789	0.4889320045859423	49	148	147	163	SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED
LHX1	TCGA_NOPURITY_N507	POLE_vs_NSMP	-0.9708195142109477	0.556791890310674	3.111782142605681	-0.31198183861226947	-0.6166694714486235	-0.010740247300472102	0.06146926536731634	0.09220389805097451	49	148	147	163	SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED
LHX1	TCGA_NOPURITY_N507	MMRd_vs_NSMP	-0.8087683191455517	0.39074720516402717	3.111782142605681	-0.25990518682915303	-0.5036947318394122	-0.034314173923473024	0.028985507246376812	0.057971014492753624	49	148	147	163	SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED
LHX1	TCGA_NOPURITY_N507	POLE_vs_MMRd	-0.162051195065396	0.5188776467639897	3.111782142605681	-0.052076651783116434	-0.33245254773138516	0.2348067612276038	0.7491254372813593	0.7491254372813593	49	148	147	163	SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED
GATA2	CPTAC_DISCOVERY_N95	POLE_vs_NSMP	-4.776284458026613	3.344434331252086	7.615835657923572	-0.6271517234037647	-1.642058252898356	0.22841027046067933	0.13693153423288357	0.2593703148425787	7	25	43	20	SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED
GATA2	CPTAC_DISCOVERY_N95	MMRd_vs_NSMP	-5.718426613900908	2.2276599631502365	7.615835657923572	-0.7508600330616922	-1.602245031456664	0.04462608681651139	0.0029985007496251873	0.026986506746626684	7	25	43	20	SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED
GATA2	CPTAC_DISCOVERY_N95	POLE_vs_MMRd	0.9421421558742953	3.2638877106568764	7.615835657923572	0.1237083096579275	-0.8642187755212787	1.140585397081677	0.7746126936531734	0.8201781462210072	7	25	43	20	SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED
SOX9	CPTAC_DISCOVERY_N95	POLE_vs_NSMP	-9.028636028160708	3.0761594016032374	7.004928827953994	-1.2888976105125969	-2.166853296414537	-0.4876794951789811	0.0024987506246876563	0.026986506746626684	7	25	43	20	SAME_DIRECTION_COMPATIBLE_BOTH_RESOLVED
SOX9	CPTAC_DISCOVERY_N95	MMRd_vs_NSMP	-4.884790442777039	2.0489674666909186	7.004928827953994	-0.6973361989466198	-1.3918463810960613	0.05867086075123728	0.006496751624187906	0.038980509745127435	7	25	43	20	SAME_DIRECTION_COMPATIBLE_BOTH_RESOLVED
SOX9	CPTAC_DISCOVERY_N95	POLE_vs_MMRd	-4.143845585383669	3.0020738553881436	7.004928827953994	-0.591561411565977	-1.3294101705559722	0.1665976696453035	0.1729135432283858	0.2593703148425787	7	25	43	20	SAME_DIRECTION_COMPATIBLE_BOTH_RESOLVED
HOXA9	CPTAC_DISCOVERY_N95	POLE_vs_NSMP	-3.6448272605258554	1.835792500421873	4.180406191449227	-0.8718835188745854	-1.8394922252009012	0.06526051265369436	0.034482758620689655	0.12413793103448276	7	25	43	20	SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED
HOXA9	CPTAC_DISCOVERY_N95	MMRd_vs_NSMP	-0.9541111168955236	1.2227841986989292	4.180406191449227	-0.22823406941820665	-0.9119019690554908	0.6211416175618533	0.35932033983008493	0.461983294067252	7	25	43	20	SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED
HOXA9	CPTAC_DISCOVERY_N95	POLE_vs_MMRd	-2.6907161436303317	1.7915796777507058	4.180406191449227	-0.6436494494563787	-1.6519885883395333	0.16734191449495134	0.14492753623188406	0.2593703148425787	7	25	43	20	SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED
WT1	CPTAC_DISCOVERY_N95	POLE_vs_NSMP	-0.23556070868336806	3.88671332994246	8.850695525309005	-0.026614937550362056	-0.8434709371781421	0.794626895900749	0.9445277361319341	0.9445277361319341	7	25	43	20	SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED
WT1	CPTAC_DISCOVERY_N95	MMRd_vs_NSMP	-4.27795186281273	2.588861019768828	8.850695525309005	-0.483346404876285	-1.0470505357350508	0.1696917311957702	0.06746626686656672	0.17348468622831442	7	25	43	20	SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED
WT1	CPTAC_DISCOVERY_N95	POLE_vs_MMRd	4.042391154129362	3.7931065812544045	8.850695525309005	0.4567314673259229	-0.3463439273881363	1.2888703366754406	0.30334832583708143	0.42002075885134355	7	25	43	20	SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED
PAX8	CPTAC_DISCOVERY_N95	POLE_vs_NSMP	-2.377080053193846	1.8670968119442493	4.251691338151332	-0.5590904569820957	-1.2796897699725662	0.19413387540756524	0.16841579210394803	0.2593703148425787	7	25	43	20	OPPOSITE_DIRECTION_POINT_HETEROGENEITY_UNRESOLVED
PAX8	CPTAC_DISCOVERY_N95	MMRd_vs_NSMP	0.4854445918531587	1.2436353665035225	4.251691338151332	0.11417681888079714	-0.5836919748803482	0.7314996492159791	0.6676661669165417	0.7511244377811094	7	25	43	20	OPPOSITE_DIRECTION_POINT_HETEROGENEITY_UNRESOLVED
PAX8	CPTAC_DISCOVERY_N95	POLE_vs_MMRd	-2.8625246450470048	1.8221300631219166	4.251691338151332	-0.6732672758628928	-1.5043837626155097	0.10883980068809332	0.11294352823588207	0.25412293853073464	7	25	43	20	OPPOSITE_DIRECTION_POINT_HETEROGENEITY_UNRESOLVED
