source	target	contrast	base_specification	quantity	current_value	upstream_value	signed_delta	absolute_delta	tolerance	status
TASK030_AUDIT	HOXA9	C2	no_purity	coefficient	-2.9628415599919777	-2.9628415599919755	-2.2204460492503131e-15	2.2204460492503131e-15	9.9999999999999998e-13	MATCH
TASK030_AUDIT	HOXA9	C2	primary_cpe	residual_sd	4.7684596427534913	4.7684596427534913	0	0	9.9999999999999998e-13	MATCH
TASK030_AUDIT	HOXA9	C2	no_purity	residual_sd	4.8228666488884109	4.8228666488884109	0	0	9.9999999999999998e-13	MATCH
TASK030_AUDIT	HOXA9	C2	primary_cpe	d	-0.64601938358519007	-0.64601938358518995	-1.1102230246251565e-16	1.1102230246251565e-16	9.9999999999999998e-13	MATCH
TASK030_AUDIT	HOXA9	C2	no_purity	d	-0.61433205097529753	-0.61433205097529708	-4.4408920985006262e-16	4.4408920985006262e-16	9.9999999999999998e-13	MATCH
TASK030_AUDIT	SOX9	C2	primary_cpe	coefficient	-4.2424280879495662	-4.2424280879495662	0	0	9.9999999999999998e-13	MATCH
TASK030_AUDIT	SOX9	C2	no_purity	coefficient	-4.1230346607622836	-4.1230346607622836	0	0	9.9999999999999998e-13	MATCH
TASK030_AUDIT	SOX9	C2	primary_cpe	residual_sd	8.0484531556112628	8.0484531556112628	0	0	9.9999999999999998e-13	MATCH
TASK030_AUDIT	SOX9	C2	no_purity	residual_sd	8.1006148789176233	8.1006148789176233	0	0	9.9999999999999998e-13	MATCH
TASK030_AUDIT	SOX9	C2	primary_cpe	d	-0.52711098715804883	-0.52711098715804883	0	0	9.9999999999999998e-13	MATCH
TASK030_AUDIT	SOX9	C2	no_purity	d	-0.50897798776889758	-0.50897798776889758	0	0	9.9999999999999998e-13	MATCH
TASK030_AUDIT	WT1	C2	primary_cpe	coefficient	-5.8512302295264256	-5.8512302295264291	3.5527136788005009e-15	3.5527136788005009e-15	9.9999999999999998e-13	MATCH
TASK030_AUDIT	WT1	C2	no_purity	coefficient	-5.9148364340534885	-5.914836434053484	-4.4408920985006262e-15	4.4408920985006262e-15	9.9999999999999998e-13	MATCH
TASK030_AUDIT	WT1	C2	primary_cpe	residual_sd	9.9013613711309763	9.9013613711309763	0	0	9.9999999999999998e-13	MATCH
TASK030_AUDIT	WT1	C2	no_purity	residual_sd	9.8868159413031051	9.8868159413031051	0	0	9.9999999999999998e-13	MATCH
TASK030_AUDIT	WT1	C2	primary_cpe	d	-0.59095209337441568	-0.59095209337441612	4.4408920985006262e-16	4.4408920985006262e-16	9.9999999999999998e-13	MATCH
TASK030_AUDIT	WT1	C2	no_purity	d	-0.59825493557978582	-0.59825493557978537	-4.4408920985006262e-16	4.4408920985006262e-16	9.9999999999999998e-13	MATCH
