module	gene	membership	status	reason	composition_signature	source
M1	FGF18	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	FGF9	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	FGFRL1	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	FOLR1	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	FOXJ1	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	GALNT3	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	GCHFR	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	GMPR	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	GPRC5B	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	GPRC5C	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	GRB7	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	HIPK2	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	HIVEP2	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	HMGA2	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	HOMER2	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	HOXB2	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	HOXB3	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	HOXB4	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	HPGD	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	HPN	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	HS6ST1	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	ICA1	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	IGF2BP3	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	IQCA1	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	IQCK	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	IQGAP2	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	ITGB8	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	JDP2	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	KCNMA1	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	KCTD1	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	KIAA1217	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	KIF12	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	KIF9	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	KLF13	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	KRT18	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	KRT7	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	LGMN	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	LGR5	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	LHX1	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	LINC00665	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	LINC02672	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	LLGL2	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	LMO7	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	LRIG1	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	LRRTM1	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	LYPD1	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	MAGI1	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	MAL2	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	MALT1	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	MAP2K3	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	MAP2K6	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	MAP3K1	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	MAP3K21	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	MECOM	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	MET	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	MLF1	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	MMP7	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	MSLN	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	MSX1	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	MSX2	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	MT1F	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	MUC1	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	MUC16	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	MUC20	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	MYEF2	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	NAALADL2	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	NCOA7	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	NEDD9	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	NLGN4X	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	NPNT	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	NRCAM	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	NRXN3	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
